Code	Time	CasesFinished
F01	1.0	3149
F01	2.0	7531
F01	3.0	12031
F01	4.0	15964
F01	5.0	20460
F01	6.0	25174
F01	7.0	28619
F01	8.0	30813
F01	9.0	32332
F01	10.0	34615
F01	11.0	37496
F01	12.0	40140
F01	13.0	44315
F01	14.0	47966
F01	15.0	50302
F01	16.0	56565
F01	17.0	60800
F01	18.0	65320
F01	19.0	69868
F01	20.0	73111
F01	21.0	74646
F01	22.0	77003
F01	23.0	80636
F01	24.0	82901
F01	25.0	85439
F01	26.0	85970
F01	27.0	85970
F01	28.0	87591
F01	29.0	87591
F01	30.0	87591
F01	31.0	87591
F01	32.0	87591
F01	33.0	87591
F01	34.0	87591
F01	35.0	87591
F01	36.0	87591
F01	37.0	87591
F01	38.0	87591
